5.000000000000000278e-02,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,2.850474586141411582e-01,2.850730696712455714e-01,2.850906051684100051e-01,1.621372339667650391e-04,7.483811815610208050e-05
1.000000000000000056e-01,1.052127750587821819e-01,1.090040561680269832e-01,1.000014296852168166e-01,2.841391922778357393e-01,2.840072445448636462e-01,2.844462919139491563e-01,1.372717109149628866e-03,2.128225528728566436e-04
1.499999999999999944e-01,1.104255501175643583e-01,1.180081123360539608e-01,1.000028593704336277e-01,2.832538935873981645e-01,2.827937340627983964e-01,2.840335204225395982e-01,3.678001067850429455e-03,4.261582793250930524e-04
2.000000000000000111e-01,1.156383251763465347e-01,1.270121685040809245e-01,1.000042890556504388e-01,2.823807582042033304e-01,2.814572622189746576e-01,2.838054946092298247e-01,6.948372506807611905e-03,7.184529408465869030e-04
2.500000000000000000e-01,1.208511002351287111e-01,1.360162246721079160e-01,1.000057187408672499e-01,2.815151085167423295e-01,2.800311236428534856e-01,2.837146519737500094e-01,1.097032448044404571e-02,1.081509114422241676e-03
2.999999999999999889e-01,1.260638752939108875e-01,1.450202808401348797e-01,1.000071484260840610e-01,2.806539943084938038e-01,2.785492741525206761e-01,2.837126163306560866e-01,1.548732885444609880e-02,1.498241587808509532e-03
3.499999999999999778e-01,1.260638752939108875e-01,1.450202808401348797e-01,1.000071484260840610e-01,2.800339399508631200e-01,2.774312435754303086e-01,2.837860608804402274e-01,1.932617122983674995e-02,1.862140334468139142e-03
4.000000000000000222e-01,1.312766503526930362e-01,1.540243370081618712e-01,1.000085781113008720e-01,2.793745923473401893e-01,2.762721015361732091e-01,2.838251055004868406e-01,2.303497216179963697e-02,2.221518758641974345e-03
4.500000000000000111e-01,1.364894254114752403e-01,1.630283931761888350e-01,1.000100077965176831e-01,2.786586398803224118e-01,2.750559724778207094e-01,2.838106736451413981e-01,2.662683914070416644e-02,2.576760867273122230e-03
5.000000000000000000e-01,1.417022004702573890e-01,1.720324493442157987e-01,1.000114374817344942e-01,2.779010632083036003e-01,2.738011447508501006e-01,2.837523734710694079e-01,3.012259354676639911e-02,2.927679105007792264e-03
